 Country                             Region    LifeExp       GDP         HIV
 Hong_Kong_China                      EAP      82.759         NA          NA 
 Hungary                              EuCA     74.414    17329.59545     0.06
 Iceland                              EuCA     81.804    33948.12470     0.30
 India                                SAs      65.438     3162.61058     0.30
 Indonesia                            EAP      69.366     4179.34691     0.20
 Iran                                 MENA     72.974    12474.99376     0.20
 Iraq                                 MENA     69.042         NA          NA 
 Ireland                              EuCA     80.557    34420.46598     0.20
 Israel                               MENA     81.618    26957.71866     0.20
 Italy                                EuCA     81.855    26559.13559     0.30
 Jamaica                              Amer     73.127     6969.56361     1.70
 Japan                                EAP      83.394    30487.93851     0.06
 Jordan                               MENA     73.403         NA          NA 
 Kazakhstan                           EuCA     67.017    11523.67110     0.10
 Kenya                                SSA      57.134     1496.46728     6.30
 Korea_Dem._Rep.                      EAP      68.846         NA          NA 
 Korea_Rep.                           EAP      80.642    26206.25048     0.06
 Kuwait                               MENA     74.576         NA          NA 
 Kyrgyzstan                           EuCA     67.714     2111.71870     0.30
 Laos                                 EAP      67.484     2578.50148     0.20
 Latvia                               EuCA     73.339    13854.82343     0.70
 Lebanon                              MENA     72.640    13488.89028     0.10
 Lesotho                              SSA      48.196     1874.84701    23.60
 Liberia                              SSA      56.786      425.36370     1.50
 Libya                                MENA     74.788         NA          NA 
 Lithuania                            EuCA     72.231    16400.33254     0.10
 Luxembourg                           EuCA     79.963    70061.72973     0.30
 Macao_China                          EAP      80.934         NA          NA 
 Macedonia_FYR                        EuCA     74.847         NA          NA 
 Madagascar                           SSA      66.718      976.32003     0.20
 Malawi                               SSA      54.210      865.54532    11.00
 Malaysia                             EAP      74.221    13836.95592     0.50
 Maldives                             SAs      76.848     5818.92352     0.06
 Mali                                 SSA      51.444     1116.70900     1.00
 Malta                                EuCA     79.634    22116.14790     0.10
 Martinique                           Amer     80.499         NA          NA 
 Mauritania                           SSA      58.582     1838.79354     0.70
 Mauritius                            SSA      73.373    12771.75529     1.00
 Mayotte                              SSA      77.433         NA          NA 
 Mexico                               Amer     76.954    11684.30345     0.30
 Micronesia_Fed._Sts.                 EAP      68.978         NA          NA 
 Moldova                              EuCA     69.317     2964.13511     0.40
 Mongolia                             EAP      68.498     3865.37088     0.06
 Montenegro                           EuCA     74.573         NA          NA 
 Morocco                              MENA     72.150     4409.37950     0.10
 Mozambique                           SSA      50.239      999.71135    11.50
 Myanmar                              EAP      65.193     1590.14816     0.60
 Namibia                              SSA      62.465     5338.59697    13.10
 Nepal                                SAs      68.795     1306.70646     0.40
 Netherlands                          EuCA     80.734    36895.83657     0.20
 Netherlands_Antilles                 Amer     76.652         NA          NA 
 New_Caledonia                        EAP      76.521         NA          NA 
 New_Zealand                          EAP      80.654    24031.04992     0.10
 Nicaragua                            Amer     74.044     2887.96299     0.20
 Niger                                SSA      54.675      668.02722     0.80
 Nigeria                              SSA      51.879     2396.61972     3.60
 Norway                               EuCA     81.097    46882.05230     0.10
 Oman                                 MENA     72.974    24334.00491     0.10
 Pakistan                             SAs      65.437     2640.25780     0.10
 Panama                               Amer     76.128    12502.25326     0.90
 Papua_New_Guinea                     EAP      62.791     2203.59974     0.90
 Paraguay                             Amer     72.477     4687.69177     0.30
 Peru                                 Amer     73.990     8864.58029     0.40
 Philippines                          EAP      68.749     3441.42360     0.06
 Poland                               EuCA     76.126    17928.33417     0.10
 Portugal                             EuCA     79.499    19905.95479     0.60
 Puerto_Rico                          Amer     79.158         NA          NA 
 Qatar                                MENA     78.371    93818.23864     0.06
 Reunion                              SSA      77.653         NA          NA 
 Romania                              EuCA     73.979    10964.41656     0.10
 Russia                               EuCA     68.823    14737.63360     1.00
 Rwanda                               SSA      55.442     1123.54933     2.90
 Saint_Lucia                          Amer     74.641         NA          NA 
 Saint_Vincent_and_the_Grenadines     Amer     72.283         NA          NA 
 Samoa                                EAP      72.444         NA          NA 
 Sao_Tome_and_Principe                SSA      64.666         NA          NA 
 Saudi_Arabia                         MENA     73.911         NA          NA 
 Senegal                              SSA      59.318     1766.99899     0.90
 Serbia                               EuCA     74.522     9719.43347     0.10
 Sierra_Leone                         SSA      47.794      924.40833     1.60
 Singapore                            EAP      81.126    49683.26710     0.10
 Slovak_Republic                      EuCA     75.446    20364.90799     0.06
 Slovenia                             EuCA     79.341    24873.73192     0.06
 Solomon_Islands                      EAP      67.852         NA          NA 
 Somalia                              SSA      51.219      943.03545     0.70
 South_Africa                         SSA      52.797     9482.09066    17.80
 South_Sudan                          SSA      59.400         NA          NA 
 Spain                                EuCA     81.404    26766.86177     0.40
 Sri_Lanka                            SAs      74.941     4901.33843     0.06
 Sudan                                SSA      61.452     3181.92589     1.10
 Suriname                             Amer     70.563     8706.31397     1.00
 Swaziland                            SSA      48.718     4728.59382    25.90
 Sweden                               EuCA     81.439    34395.31413     0.10
 Switzerland                          EuCA     82.338    37942.46843     0.40
 Syria                                MENA     75.850         NA          NA 
 Tajikistan                           EuCA     67.529     1842.56944     0.20
 Tanzania                             SSA      58.199     1348.36498     5.60
 Thailand                             EAP      74.126     7982.61119     1.30
 Timor-Leste                          EAP      62.475         NA          NA 
 Togo                                 SSA      57.062      933.18013     3.20
 Tonga                                EAP      72.317         NA          NA 
 Trinidad_and_Tobago                  Amer     70.124    17459.84975     1.50
 Tunisia                              MENA     74.515     7520.82553     0.06
